State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
Alabama,2016,8th grade or less,2240,27.7
Alabama,2016,9th through 12th grade with no diploma,7093,24.0
Alabama,2016,"Associate degree (AA, AS)",4687,29.0
Alabama,2016,"Bachelor's degree (BA, AB, BS)",9098,30.3
Alabama,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",998,33.0
Alabama,2016,High school graduate or GED completed,18061,25.3
Alabama,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3884,32.1
Alabama,2016,"Some college credit, but not a degree",12969,26.7
Alabama,2016,Unknown or Not Stated,121,27.4
Alabama,2017,8th grade or less,1990,27.6
Alabama,2017,9th through 12th grade with no diploma,6628,24.2
Alabama,2017,"Associate degree (AA, AS)",4857,28.9
Alabama,2017,"Bachelor's degree (BA, AB, BS)",8959,30.4
Alabama,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1139,33.0
Alabama,2017,High school graduate or GED completed,18365,25.4
Alabama,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3821,32.0
Alabama,2017,"Some college credit, but not a degree",13035,26.8
Alabama,2017,Unknown or Not Stated,147,27.4
Alabama,2018,8th grade or less,1856,27.9
Alabama,2018,9th through 12th grade with no diploma,6169,24.3
Alabama,2018,"Associate degree (AA, AS)",5034,29.0
Alabama,2018,"Bachelor's degree (BA, AB, BS)",8833,30.4
Alabama,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1101,33.2
Alabama,2018,High school graduate or GED completed,18306,25.5
Alabama,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3857,32.0
Alabama,2018,"Some college credit, but not a degree",12493,27.0
Alabama,2018,Unknown or Not Stated,112,27.2
Alabama,2019,8th grade or less,2350,27.8
Alabama,2019,9th through 12th grade with no diploma,5855,24.4
Alabama,2019,"Associate degree (AA, AS)",5017,29.0
Alabama,2019,"Bachelor's degree (BA, AB, BS)",8892,30.4
Alabama,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1056,33.2
Alabama,2019,High school graduate or GED completed,18887,25.6
Alabama,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3915,32.0
Alabama,2019,"Some college credit, but not a degree",12545,27.1
Alabama,2019,Unknown or Not Stated,98,27.7
Alabama,2020,8th grade or less,2294,27.5
Alabama,2020,9th through 12th grade with no diploma,5612,24.6
Alabama,2020,"Associate degree (AA, AS)",5096,29.2
Alabama,2020,"Bachelor's degree (BA, AB, BS)",8850,30.4
Alabama,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1121,33.2
Alabama,2020,High school graduate or GED completed,19011,25.6
Alabama,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4076,32.0
Alabama,2020,"Some college credit, but not a degree",11508,27.3
Alabama,2020,Unknown or Not Stated,79,30.0
Alabama,2021,8th grade or less,2386,27.8
Alabama,2021,9th through 12th grade with no diploma,5240,24.4
Alabama,2021,"Associate degree (AA, AS)",5039,29.1
Alabama,2021,"Bachelor's degree (BA, AB, BS)",9266,30.4
Alabama,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1220,33.2
Alabama,2021,High school graduate or GED completed,19165,25.8
