State,Year,Education Level of Mother,Number of Births
California,2016,8th grade or less,20226
California,2016,9th through 12th grade with no diploma,48019
California,2016,"Associate degree (AA, AS)",31795
California,2016,"Bachelor's degree (BA, AB, BS)",94066
California,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13783
California,2016,High school graduate or GED completed,117402
California,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41680
California,2016,"Some college credit, but not a degree",96498
California,2016,Unknown or Not Stated,25358
California,2017,8th grade or less,18261
California,2017,9th through 12th grade with no diploma,43176
California,2017,"Associate degree (AA, AS)",30847
California,2017,"Bachelor's degree (BA, AB, BS)",94168
California,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13703
California,2017,High school graduate or GED completed,112979
California,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41456
California,2017,"Some college credit, but not a degree",93242
California,2017,Unknown or Not Stated,23826
California,2018,8th grade or less,16717
California,2018,9th through 12th grade with no diploma,38844
California,2018,"Associate degree (AA, AS)",29872
California,2018,"Bachelor's degree (BA, AB, BS)",92001
California,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13912
California,2018,High school graduate or GED completed,108536
California,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41821
California,2018,"Some college credit, but not a degree",88705
California,2018,Unknown or Not Stated,24512
California,2019,8th grade or less,14910
California,2019,9th through 12th grade with no diploma,35283
California,2019,"Associate degree (AA, AS)",29852
California,2019,"Bachelor's degree (BA, AB, BS)",91537
California,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14070
California,2019,High school graduate or GED completed,105388
California,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",42057
California,2019,"Some college credit, but not a degree",85435
California,2019,Unknown or Not Stated,27947
California,2020,8th grade or less,13407
California,2020,9th through 12th grade with no diploma,31227
California,2020,"Associate degree (AA, AS)",28365
California,2020,"Bachelor's degree (BA, AB, BS)",86356
California,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13535
California,2020,High school graduate or GED completed,99814
California,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",40136
California,2020,"Some college credit, but not a degree",78868
California,2020,Unknown or Not Stated,28551
California,2021,8th grade or less,12510
California,2021,9th through 12th grade with no diploma,27491
California,2021,"Associate degree (AA, AS)",28866
California,2021,"Bachelor's degree (BA, AB, BS)",88077
California,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14585
California,2021,High school graduate or GED completed,99304
California,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41662
California,2021,"Some college credit, but not a degree",76913
California,2021,Unknown or Not Stated,31200
