State,Year,Education Level of Mother,Number of Births
Illinois,2016,8th grade or less,3994
Illinois,2016,9th through 12th grade with no diploma,13870
Illinois,2016,"Associate degree (AA, AS)",12242
Illinois,2016,"Bachelor's degree (BA, AB, BS)",34404
Illinois,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4645
Illinois,2016,High school graduate or GED completed,32925
Illinois,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",18838
Illinois,2016,"Some college credit, but not a degree",30457
Illinois,2016,Unknown or Not Stated,3070
Illinois,2017,8th grade or less,3496
Illinois,2017,9th through 12th grade with no diploma,12844
Illinois,2017,"Associate degree (AA, AS)",11711
Illinois,2017,"Bachelor's degree (BA, AB, BS)",33544
Illinois,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4539
Illinois,2017,High school graduate or GED completed,32690
Illinois,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",18020
Illinois,2017,"Some college credit, but not a degree",29296
Illinois,2017,Unknown or Not Stated,3250
Illinois,2018,8th grade or less,3162
Illinois,2018,9th through 12th grade with no diploma,11739
Illinois,2018,"Associate degree (AA, AS)",11547
Illinois,2018,"Bachelor's degree (BA, AB, BS)",33058
Illinois,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4588
Illinois,2018,High school graduate or GED completed,32953
Illinois,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17859
Illinois,2018,"Some college credit, but not a degree",27669
Illinois,2018,Unknown or Not Stated,2240
Illinois,2019,8th grade or less,2870
Illinois,2019,9th through 12th grade with no diploma,10453
Illinois,2019,"Associate degree (AA, AS)",11207
Illinois,2019,"Bachelor's degree (BA, AB, BS)",32326
Illinois,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4567
Illinois,2019,High school graduate or GED completed,32421
Illinois,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17746
Illinois,2019,"Some college credit, but not a degree",26752
Illinois,2019,Unknown or Not Stated,1786
Illinois,2020,8th grade or less,2623
Illinois,2020,9th through 12th grade with no diploma,9814
Illinois,2020,"Associate degree (AA, AS)",10601
Illinois,2020,"Bachelor's degree (BA, AB, BS)",31283
Illinois,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4380
Illinois,2020,High school graduate or GED completed,30949
Illinois,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16916
Illinois,2020,"Some college credit, but not a degree",24966
Illinois,2020,Unknown or Not Stated,1766
Illinois,2021,8th grade or less,2443
Illinois,2021,9th through 12th grade with no diploma,8829
Illinois,2021,"Associate degree (AA, AS)",10754
Illinois,2021,"Bachelor's degree (BA, AB, BS)",32759
Illinois,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4824
Illinois,2021,High school graduate or GED completed,29948
Illinois,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17353
Illinois,2021,"Some college credit, but not a degree",23823
Illinois,2021,Unknown or Not Stated,1456
