State,Year,Education Level of Mother,Number of Births
North Carolina,2016,8th grade or less,4529
North Carolina,2016,9th through 12th grade with no diploma,12793
North Carolina,2016,"Associate degree (AA, AS)",11044
North Carolina,2016,"Bachelor's degree (BA, AB, BS)",24234
North Carolina,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2942
North Carolina,2016,High school graduate or GED completed,27443
North Carolina,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10217
North Carolina,2016,"Some college credit, but not a degree",27240
North Carolina,2016,Unknown or Not Stated,337
North Carolina,2017,8th grade or less,4390
North Carolina,2017,9th through 12th grade with no diploma,12421
North Carolina,2017,"Associate degree (AA, AS)",11148
North Carolina,2017,"Bachelor's degree (BA, AB, BS)",23506
North Carolina,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3017
North Carolina,2017,High school graduate or GED completed,28252
North Carolina,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10254
North Carolina,2017,"Some college credit, but not a degree",26866
North Carolina,2017,Unknown or Not Stated,271
North Carolina,2018,8th grade or less,3943
North Carolina,2018,9th through 12th grade with no diploma,11694
North Carolina,2018,"Associate degree (AA, AS)",11226
North Carolina,2018,"Bachelor's degree (BA, AB, BS)",24110
North Carolina,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3018
North Carolina,2018,High school graduate or GED completed,28321
North Carolina,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10446
North Carolina,2018,"Some college credit, but not a degree",25807
North Carolina,2018,Unknown or Not Stated,389
North Carolina,2019,8th grade or less,3942
North Carolina,2019,9th through 12th grade with no diploma,11254
North Carolina,2019,"Associate degree (AA, AS)",11332
North Carolina,2019,"Bachelor's degree (BA, AB, BS)",23941
North Carolina,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3117
North Carolina,2019,High school graduate or GED completed,29577
North Carolina,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10606
North Carolina,2019,"Some college credit, but not a degree",24528
North Carolina,2019,Unknown or Not Stated,428
North Carolina,2020,8th grade or less,3884
North Carolina,2020,9th through 12th grade with no diploma,10616
North Carolina,2020,"Associate degree (AA, AS)",11198
North Carolina,2020,"Bachelor's degree (BA, AB, BS)",24225
North Carolina,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3191
North Carolina,2020,High school graduate or GED completed,29290
North Carolina,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10438
North Carolina,2020,"Some college credit, but not a degree",23565
North Carolina,2020,Unknown or Not Stated,323
North Carolina,2021,8th grade or less,3627
North Carolina,2021,9th through 12th grade with no diploma,10187
North Carolina,2021,"Associate degree (AA, AS)",11743
North Carolina,2021,"Bachelor's degree (BA, AB, BS)",26112
North Carolina,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3425
North Carolina,2021,High school graduate or GED completed,30032
North Carolina,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11680
North Carolina,2021,"Some college credit, but not a degree",23322
North Carolina,2021,Unknown or Not Stated,338
