State,Year,Education Level of Mother,Number of Births
Oklahoma,2016,8th grade or less,1624
Oklahoma,2016,9th through 12th grade with no diploma,7170
Oklahoma,2016,"Associate degree (AA, AS)",3998
Oklahoma,2016,"Bachelor's degree (BA, AB, BS)",8742
Oklahoma,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",832
Oklahoma,2016,High school graduate or GED completed,15319
Oklahoma,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2579
Oklahoma,2016,"Some college credit, but not a degree",12196
Oklahoma,2016,Unknown or Not Stated,132
Oklahoma,2017,8th grade or less,1570
Oklahoma,2017,9th through 12th grade with no diploma,6487
Oklahoma,2017,"Associate degree (AA, AS)",3928
Oklahoma,2017,"Bachelor's degree (BA, AB, BS)",8381
Oklahoma,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",810
Oklahoma,2017,High school graduate or GED completed,14775
Oklahoma,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2403
Oklahoma,2017,"Some college credit, but not a degree",11725
Oklahoma,2017,Unknown or Not Stated,135
Oklahoma,2018,8th grade or less,1441
Oklahoma,2018,9th through 12th grade with no diploma,6134
Oklahoma,2018,"Associate degree (AA, AS)",3891
Oklahoma,2018,"Bachelor's degree (BA, AB, BS)",8324
Oklahoma,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",828
Oklahoma,2018,High school graduate or GED completed,15069
Oklahoma,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2472
Oklahoma,2018,"Some college credit, but not a degree",11534
Oklahoma,2018,Unknown or Not Stated,107
Oklahoma,2019,8th grade or less,1392
Oklahoma,2019,9th through 12th grade with no diploma,5984
Oklahoma,2019,"Associate degree (AA, AS)",3793
Oklahoma,2019,"Bachelor's degree (BA, AB, BS)",7909
Oklahoma,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",848
Oklahoma,2019,High school graduate or GED completed,15440
Oklahoma,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2476
Oklahoma,2019,"Some college credit, but not a degree",11148
Oklahoma,2019,Unknown or Not Stated,153
Oklahoma,2020,8th grade or less,1292
Oklahoma,2020,9th through 12th grade with no diploma,5775
Oklahoma,2020,"Associate degree (AA, AS)",3577
Oklahoma,2020,"Bachelor's degree (BA, AB, BS)",7891
Oklahoma,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",842
Oklahoma,2020,High school graduate or GED completed,14735
Oklahoma,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2504
Oklahoma,2020,"Some college credit, but not a degree",10893
Oklahoma,2020,Unknown or Not Stated,114
Oklahoma,2021,8th grade or less,1288
Oklahoma,2021,9th through 12th grade with no diploma,5458
Oklahoma,2021,"Associate degree (AA, AS)",3889
Oklahoma,2021,"Bachelor's degree (BA, AB, BS)",8336
Oklahoma,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",828
Oklahoma,2021,High school graduate or GED completed,15129
Oklahoma,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2620
Oklahoma,2021,"Some college credit, but not a degree",10752
Oklahoma,2021,Unknown or Not Stated,110
