State,Year,Education Level of Mother,Number of Births
Texas,2016,8th grade or less,15083
Texas,2016,9th through 12th grade with no diploma,58722
Texas,2016,"Associate degree (AA, AS)",24479
Texas,2016,"Bachelor's degree (BA, AB, BS)",71613
Texas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7805
Texas,2016,High school graduate or GED completed,106705
Texas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",26219
Texas,2016,"Some college credit, but not a degree",86833
Texas,2016,Unknown or Not Stated,588
Texas,2017,8th grade or less,12913
Texas,2017,9th through 12th grade with no diploma,53647
Texas,2017,"Associate degree (AA, AS)",24008
Texas,2017,"Bachelor's degree (BA, AB, BS)",69377
Texas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7731
Texas,2017,High school graduate or GED completed,105131
Texas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",25678
Texas,2017,"Some college credit, but not a degree",82983
Texas,2017,Unknown or Not Stated,582
Texas,2018,8th grade or less,11958
Texas,2018,9th through 12th grade with no diploma,50716
Texas,2018,"Associate degree (AA, AS)",24990
Texas,2018,"Bachelor's degree (BA, AB, BS)",70725
Texas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7873
Texas,2018,High school graduate or GED completed,105680
Texas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",26381
Texas,2018,"Some college credit, but not a degree",79731
Texas,2018,Unknown or Not Stated,570
Texas,2019,8th grade or less,12754
Texas,2019,9th through 12th grade with no diploma,46208
Texas,2019,"Associate degree (AA, AS)",24938
Texas,2019,"Bachelor's degree (BA, AB, BS)",70820
Texas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7884
Texas,2019,High school graduate or GED completed,107476
Texas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",27101
Texas,2019,"Some college credit, but not a degree",79441
Texas,2019,Unknown or Not Stated,977
Texas,2020,8th grade or less,11387
Texas,2020,9th through 12th grade with no diploma,42089
Texas,2020,"Associate degree (AA, AS)",24940
Texas,2020,"Bachelor's degree (BA, AB, BS)",70476
Texas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7541
Texas,2020,High school graduate or GED completed,107422
Texas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",26494
Texas,2020,"Some college credit, but not a degree",76555
Texas,2020,Unknown or Not Stated,1286
Texas,2021,8th grade or less,11460
Texas,2021,9th through 12th grade with no diploma,38771
Texas,2021,"Associate degree (AA, AS)",26431
Texas,2021,"Bachelor's degree (BA, AB, BS)",74309
Texas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8373
Texas,2021,High school graduate or GED completed,108790
Texas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",28873
Texas,2021,"Some college credit, but not a degree",74910
Texas,2021,Unknown or Not Stated,1677
